Year,Month,Date,Level,Label,Policies,Code,Type,Relevance,Comment,last amended
2006,September,22,EU,,Soil Framework Directive,2004/35/EC,legislation,soil,,
2006,September,22,EU,SoilStrategy,Thematic Strategy for Soil Protection,SEC/2006/620,legislation,soil,COM/2012/0046,
2006,December,18,EU,REACH,Regulation on Registration. Evaluation. Authorisation and Restriction of Chemicals,EC/1907/2006,legislation,transformation,,
2006,March,15,EU,,Waste Management Extractive Industries Directive,2006/21/EC,legislation,transformation,,
2007,,,UN,CA,Conservation Agriculture,,legislation,agriculture,FAO,
2007,November,7,Germany,NBSAP,National Strategy on Biological Diversity,,legislation,biodiversity,,
2007,March,14,EU,,Infrastructure for Spatial Information in the European Community (INSPIRE) Directive,2007/2/EC,data system,environment,,
2007,December,20,Germany,BodSchätzG,Federal Soil Evaluation Act,BGBl. I S. 3150. 3176,legislation,soil,updated in 2008,15-Apr
2007,,,EU,CONSIDER,Conservation of Soil Organism Diversity under Global Change (CONSIDER),,research,soil diversity,,
2007,May,10,Germany,,Environmental Damage Act (USchaG),2004/35/EG,legislation,transformation,,16-Aug
2008,,,Germany,BZE-Agri,Agricultural Soil Inventory (BZE-LW). 1. campaign,,legislation,agriculture,,
2008,December,,Germany,,Strategy for Adaptation to Climate Change (DAS),,legislation,climate,,
2008,November,19,EU,WasteD,Waste Framework Directive,2008/98/EC,legislation,transformation,,
2008,October,22,EU,,Mercury Regulation,EC/1102/2008,legislation,transformation,,
2009,April,23,EU,,Geological Storage of CO2 (CCS) Directive,2009/31/EC,legislation,climate,,
2009,April,23,EU,,Effort Sharing Decision,406/2009/EC,legislation,climate,,
2009,April,23,EU,,Renewable Energy Directive,2009/28/EC,legislation,climate,,
2009,May,6,EU,ESDAC,European Soil Data Centre,,data system,soil,or 1949,
2009,November,11,EU,,Animal by-products Regulation,EC/1069/2009,legislation,transformation,,
2009,October,21,EU,PesticideD,Directive on Sustainable Use of Pesticides,2009/128/EC,legislation,transformation,,
2009,October,21,EU,,Regulation of plant-protection products,EC/1107/2009,legislation,transformation,,
2010,,,Germany,,Federal Programme for Organic and Sustainable Farming (BÖLN),,legislation,agriculture,BÖL,
2010,November,18,EU,newCAP,New Common Agricultural Policy,COM/2010/672,legislation,agriculture,CAP,
2010,,,international,,International Year of Biodiversity,,awareness raising,biodiversity,,
2010,October,29,UN,Aichi,Aichi Biodiversity Targets,UNEP/CBD/COP/DEC/X/2,legislation,biodiversity,,
2010,February,24,Germany,UVPG,Environmental Impact Assessment Act (UVPG),,legislation,environment,,19-May
2010,March,1,Germany,BNatSchG,Act on Nature Conservation and Landscape Management,,legislation,environment,,19-May
2010,February,,EU,SoilReport,Report: Soil biodiversity: functions. threats and tools for policy makers,,publication,soil diversity,EC,
2010,,,Germany,,Tool Soil and Groundwater Protection (AH BoGwS),,legislation,transformation,renewed in 2014,2018
2010,November,24,EU,,Industrial Emissions Directive (IED),2010/75/EU,legislation,transformation,,
2011,May,,EU,BD'20,Biodiversity Strategy for 2020,COM/2011/0244,legislation,biodiversity,,
2011,November,30,EU,H2020,Horizon Europe programme,COM/2011/0808,funding,environment,,
2011,June,28,EU,,Rewilding Europe,,legislation,environment,,
2011,September,27,international,GSBI,Global Soil Biodiversity Initiative,,association,soil diversity,,
2011,,,EU,EcoFINDERS,Ecological Function and Biodiversity Indicators in European Soils (EcoFINDERS),ENV.2010.2.1.4-4,legislation,soil diversity,until 2014,
2011,September,20,EU,,Roadmap to Resource Efficient Europe,COM/2011/0571,legislation,sustainability,,
2011,December,13,EU,,Environmental Impact Assessment (EIA) Directive,2011/92/EU,legislation,transformation,,14-Apr
2011,March,9,EU,,Construction Products Regulation (CPR),EU/305/2011,legislation,transformation,,
2012,,,international,IPBES,Intergovernmental Science Policy Platform on Biodiversity and Ecosystem Services,,association,biodiversity,,
2012,,,international,GSP,Global Soil Partnerships,,association,soil,,
2012,,,international,SoilWeek,Global Soil Week,,awareness raising,soil,,2017
2012,June,,UN,,Conference on Sustainable Development,,event,sustainability,Rio de Janeiro. The Future We Want,
2012,February,24,Germany,,Circular Economy Act and connected Ordinances (KrWG),,legislation,sustainability,,17-Jul
2012,May,15,EU,GuideSealing,Guidelines on best practice to limit. mitigate or compensate Soil Sealing,SWD/2012/101/2,legislation,transformation,,
2012,May,22,EU,,Regulation on biocide products,EC/528/2012,legislation,transformation,,
2012,,,Germany,,Fertiliser Ordinance (DüMG),,ordinance,transformation,,17-May
2013,December,17,EU,CAP-DP,CAP Direct Payments,EU/1307/2013,funding,agriculture,CAP,
2013,December,17,EU,,CAP Cross-Compliance Rules,EU/1306/2013,funding,agriculture,CAP,
2013,December,17,EU,GAEC,Good Agricultural and Environmental Conditions,EU/1306/2013,legislation,agriculture,,
2013,April,16,EU,,EU Strategy on Adaptation to Climate Change,COM/2013/0216,legislation,climate,,
2013,May,21,EU,,Land Use. Land-use Change and Forestry (LULUCF) Decision,529/2013/EU,legislation,climate,draft in 1963,
2013,December,17,EU,,European Regional Development Fund (ERDF),EU/1301/2013,funding,development,,
2013,December,17,EU,,European Social Fund (ESF),EU/1304/2013,funding,development,,
2013,,,EU,MAES,Mapping and Assessment of the State of Ecosystems and their Services,,data system,environment,,
2013,December,17,EU,,Cohesion Fund (CF),EU/1303/2013,funding,environment,,
2013,November,20,EU,7thEAP,7th Environmental Action Programme (EAP),1386/2013/EU,legislation,environment,,
2013,,,international,ITPS,Intergovernmental Technical Panel on Soils,,association,soil,GSP,
2013,,,Germany,,Staff Unit Soil at Thünen Institute,,research,soil,,
2013,May,6,EU,,Green Infrastructure (GI) Strategy,COM/2013/249,legislation,sustainability,,
2013,October,10,EU,,Minamata Convention on Mercury,,event,transformation,,
2013,,,Germany,,Federal Immission Control Ordinance (BImSchV),,ordinance,transformation,,
2014,,,Germany,,2000sqm. Project World Field (Weltacker),,awareness raising,agriculture,,
2014,,,Germany,,CAP Rural Development Programm,EU/1305/2013,funding,agriculture,CAP,
2014,July,1,EU,,Guidelines on State Aid for Environmental Protection and Energy,OJ/C/200,funding,environment,,
2014,May,21,EU,,Withdrawal of Soil Framework Directive,,legislation,reversely,,
2014,December,5,UN,SoilDay,World Soil Day (WSD),,awareness raising,soil,,
2014,,,Germany,,EDAPHOBASE,,data system,soil diversity,GBIF,
2015,,,Germany,,CAP GAEC Cross-compliance Standards (GLÖZ),EU/1306/2013,funding,agriculture,CAP,
2015,,,Germany,CAP-Green,CAP Greening Payment Requirements,,funding,agriculture,CAP,
2015,December,12,UN,ParisAgreement,Paris Agreement on climate change,,legislation,climate,,
2015,June,22,EU,,Knowledge innovation project on the Integrated System of Natural Capital Accounting (KIP-INCA),,research,environment,,
2015,January,1,UN,YearOfSoil,International Year of Soil,,awareness raising,soil,,
2015,,,Germany,SoilAtlas,Atlas-Informationssystem,,data system,soil,,
2015,September,,Germany,,Database on soil science (FISBo BGR),,data system,soil,,
2015,,,Germany,BonaRes,Soil as Sustainable Ressource for Bioeconomy,,funding,soil,,
2015,June,,international,newWSC,Revised World Soil Charter,,legislation,soil,FAO,
2015,,,international,,Status of the World’s Soil Resources by FAO & ITPS (SWSR),,publication,soil,,
2015,December,2,EU,,Circular Economy Action Plan,COM/2015/0614,legislation,sustainability,,
2015,September,25,UN,A2030,Agenda 2030 for Sustainable Development,A/RES/70/1,legislation,sustainability,,
2016,August,1,Germany,,Integrated Environmental Programme 2030,,publication,environment,by BMUB,
2016,February,2,EU,,Mercury Proposal,COM/2016/039,legislation,transformation,,
2017,,,UN,VGSSM,Voluntary Guidelines for Sustainable Soil Management,,legislation,soil,FAO,
2017,,,Germany,SoilProtectionReport,Soil Protection Report,,publication,soil,by BMU,
2017,October,1,Germany,,Radiation Protection Act (StrlSchG),,legislation,transformation,,20-Oct
2017,December,14,Germany,,Ordinance on Nutrient-Flow Balances (StoffBilV),,ordinance,transformation,,
2018,May,14,EU,,Regulation on inclusion of LULUCF in 2030 climate and energy framework,2016/0230/COD,legislation,climate,,
2018,November,18,EU,,Mapping and Assessment for Integrated ecosystem Accounting (MAIA),,data system,environment,in progress,
2018,January,,EU,,Nature-based solutions,,legislation,environment,,
2018,,,Germany,,BiodivERsA project Ecosystem services driven by the diversity of soil biota (SoilMan),,funding,soil diversity,,
2019,September,4,Germany,API,Action Programme Insect decline,,legislation,biodiversity,BMU,
2019,December,11,EU,GreenDeal,European Green Deal,COM/2019/640,legislation,sustainability,,
2019,June,5,EU,,Fertiliser Regulation,EU/2019/1009,legislation,transformation,,
2020,October,22,EU,,EU Biodiversity Green Week,,awareness raising,biodiversity,,
2020,August,17,EU,post-2020,post-2020 Global Biodiversity Framework,,legislation,biodiversity,,
2020,May,20,EU,BD'30,Biodiversity Strategy for 2030,COM/2020/380,legislation,biodiversity,,
2020,September,17,EU,,2030 Climate Target Plan,COM/2020/562,legislation,climate,,
2020,February,23,international,SoilBDForum,World Soil Biodiversity Forum,,event,soil diversity,,
2020,March,11,EU,,New Circular Economy Action Plan,COM/2020/98,legislation,sustainability,,
2020,October,14,EU,,Chemicals Strategy for Sustainability,COM/2020/667,legislation,transformation,,
2021,,,Germany,,Agricultural Soil Inventory (BZE-LW). 2. campaign,,data system,agriculture,,
2021,,,international,,FAO Soil Report,,publication,soil,by FAO,
in prep.,,,Germany,,Soil Information System (ebis),,data system,soil,,
in prep.,,,EU,newSoilStrategy,new EU Soil Strategy,,legislation,soil,,
in prep.,,,EU,,EUdaphobase,,data system,soil diversity,GBIF,
